Date,7exp
9/23/20,1881.141235
9/24/20,1874.207948
9/25/20,1868.613582
9/28/20,1876.86809
9/29/20,1888.935034
9/30/20,1891.31596
2010/1/20,1900.422061
2010/2/20,1902.358983
2010/5/20,1907.822271
2010/6/20,1912.305432
2010/7/20,1884.834648
2010/8/20,1888.582264
2010/9/20,1928.99297
2010/12/20,1929.402317
10/13/20,1888.745128
10/14/20,1909.392743
10/15/20,1897.613783
10/16/20,1909.02959
10/19/20,1908.272504
10/20/20,1902.486205
10/21/20,1923.925555
10/22/20,1904.897912
10/23/20,1903.06953
10/26/20,1901.5379
10/27/20,1910.531135
10/28/20,1873.191747
10/29/20,1875.262773
10/30/20,1888.430044
2011/2/20,1897.620617
2011/3/20,1908.423143
2011/4/20,1901.071431
2011/5/20,1935.232212
2011/6/20,1939.708774
2011/9/20,1866.273767
2011/10/20,1878.319731
2011/11/20,1873.833085
2011/12/20,1885.632049
11/13/20,1895.264226
11/16/20,1890.848916
11/17/20,1886.997536
11/18/20,1878.949176
11/19/20,1860.200022
11/20/20,1880.251833
11/23/20,1848.086466
11/24/20,1806.382099
11/25/20,1818.703941
11/26/20,1822.06442
11/27/20,1788.028528
11/30/20,1768.899038
2012/1/20,1818.569089
2012/2/20,1828.907508
2012/3/20,1830.751682
2012/4/20,1837.122453
2012/7/20,1856.886538
2012/8/20,1862.9044
2012/9/20,1838.895362
2012/10/20,1841.786204
2012/11/20,1844.923311
12/14/20,1835.450252
12/15/20,1852.78652
12/16/20,1855.513537
12/17/20,1889.820091
12/18/20,1877.304659
12/21/20,1876.417218
12/22/20,1873.662017
12/23/20,1877.47488
12/24/20,1874.9658
12/29/20,1877.773543
12/30/20,1888.676311
12/31/20,1916.1971
2001/4/21,1940.095609
2001/5/21,1934.652799
2001/6/21,1925.054532
2001/7/21,1917.533144
2001/8/21,1872.185984
2001/11/21,1858.628722
2001/12/21,1859.404823
1/13/21,1874.270788
1/14/21,1851.687918
1/15/21,1845.885928
1/18/21,1838.14154
1/19/21,1842.259501
1/20/21,1859.82802
1/21/21,1865.270214
1/22/21,1851.408163
1/25/21,1856.066835
1/26/21,1857.89214
1/27/21,1845.486224
1/28/21,1855.530121
1/29/21,1867.028334
2002/1/21,1864.550783
2002/2/21,1834.0242
2002/3/21,1838.592892
2002/4/21,1794.269553
2002/5/21,1812.584875
2002/8/21,1843.80012
2002/9/21,1846.448229
2002/10/21,1838.510035
2002/11/21,1839.024936
2002/12/21,1818.054174
2/15/21,1823.835923
2/16/21,1803.799426
2/17/21,1789.784023
2/18/21,1781.505535
2/19/21,1794.848223
2/22/21,1811.998378
2/23/21,1799.643617
2/24/21,1785.886258
2/25/21,1778.153833
2/26/21,1750.404747
2003/1/21,1741.696946
2003/2/21,1737.335318
2003/3/21,1721.882775
2003/4/21,1720.806028
2003/5/21,1699.952385
2003/8/21,1692.565226
2003/9/21,1717.981919
2003/10/21,1720.693052
2003/11/21,1722.169348
2003/12/21,1702.647566
3/15/21,1722.145056
3/16/21,1736.417706
3/17/21,1731.535493
3/18/21,1724.507116
3/19/21,1734.824693
3/22/21,1736.93059
3/23/21,1728.282884
3/24/21,1731.406996
3/25/21,1739.362349
3/26/21,1733.789928
3/29/21,1707.776996
3/30/21,1688.506477
3/31/21,1698.067087
2004/1/21,1733.488558
2004/6/21,1746.222082
2004/7/21,1733.658841
